Z4_male_1,170612
Z4_male_2,184138
Z4_male_3,191266
Z4_male_4,176592
Z4_male_5,193588
Z4_male_6,195204
Z4_male_7,191547
Z4_male_8,168955
Z4_male_9,196394
Z4_male_10,188386
Z4_male_11,176080
Z4_male_12,179682
Z4_male_13,180362
Z4_male_14,214537
Z4_male_15,182006
Z4_male_16,174084
Z4_male_17,181664
Z4_male_18,190520
Z4_male_19,177348
Z4_male_20,198301
Z4_male_21,177154
Z4_male_22,184052
Z4_male_23,189187
Z4_male_24,191833
Z4_male_25,191323
Z4_male_26,213492
Z4_male_27,161857
Z4_male_28,182293
Z4_male_29,210588
Z4_male_30,210038
Z4_male_31,174383
Z4_male_32,180219
Z4_male_33,186322
Z4_male_34,183939
Z4_male_35,188372
Z4_male_36,176924
Z4_male_37,179731
Z4_male_38,197200
Z4_male_39,177620
Z4_male_40,190828
Z4_male_41,185455
Z4_male_42,187969
Z4_male_43,162921
Z4_male_44,193250
Z4_male_45,182946
Z4_male_46,181427
Z4_male_47,173529
Z4_male_48,186939
Z4_female_1,210033
Z4_female_2,190787
Z4_female_3,207614
Z4_female_4,200491
Z4_female_5,189301
Z4_female_6,183008
Z4_female_7,192948
Z4_female_8,188427
Z4_female_9,185795
Z4_female_10,224148
Z4_female_11,198121
Z4_female_12,203537
Z4_female_13,201416
Z4_female_14,221643
Z4_female_15,182380
Z4_female_16,223052
Z4_female_17,193071
Z4_female_18,171973
Z4_female_19,195993
Z4_female_20,207016
Z4_female_21,203530
Z4_female_22,212002
Z4_female_23,221695
Z4_female_24,175595
Z4_female_25,207371
Z4_female_26,227644
Z4_female_27,200251
Z4_female_28,207105
Z4_female_29,202765
Z4_female_30,191779
Z4_female_31,217132
Z4_female_32,209667
Z4_female_33,190159
Z4_female_34,188921
Z4_female_35,210877
Z4_female_36,198394
Z4_female_37,207430
Z4_female_38,212261
Z4_female_39,214324
Z4_female_40,169054
Z4_female_41,206902
Z4_female_42,168658
Z4_female_43,199746
Z4_female_44,193762
Z4_female_45,207658
Z4_female_46,215141
Z4_female_47,214430
Z4_female_48,204050
T10_male_1,215118
T10_male_2,222455
T10_male_3,215204
T10_male_4,201278
T10_male_5,182836
T10_male_6,193686
T10_male_7,207461
T10_male_8,205383
T10_male_9,205744
T10_male_10,211784
T10_male_11,192265
T10_male_12,181700
T10_male_13,182286
T10_male_14,193564
T10_male_15,207473
T10_male_16,205746
T10_male_17,204191
T10_male_18,202490
T10_male_19,213785
T10_male_20,211203
T10_male_21,194340
T10_male_22,229086
T10_male_23,186145
T10_male_24,202366
T10_male_25,190233
T10_male_26,212115
T10_male_27,191907
T10_male_28,207678
T10_male_29,214493
T10_male_30,194384
T10_male_31,192590
T10_male_32,191016
T10_male_33,207779
T10_male_34,175817
T10_male_35,195203
T10_male_36,189031
T10_male_37,189100
T10_male_38,201006
T10_male_39,215377
T10_male_40,206557
T10_male_41,225093
T10_male_42,208839
T10_male_43,194883
T10_male_44,202979
T10_male_45,217237
T10_male_46,186213
T10_male_47,245453
T10_male_48,226337
T10_female_1,237916
T10_female_2,240855
T10_female_3,226486
T10_female_4,217131
T10_female_5,247688
T10_female_6,222818
T10_female_7,230303
T10_female_8,235315
T10_female_9,222912
T10_female_10,210511
T10_female_11,210059
T10_female_12,247180
T10_female_13,223384
T10_female_14,267691
T10_female_15,250413
T10_female_16,225113
T10_female_17,238641
T10_female_18,231511
T10_female_19,244837
T10_female_20,208242
T10_female_21,223030
T10_female_22,238036
T10_female_23,234093
T10_female_24,234240
T10_female_25,235930
T10_female_26,228134
T10_female_27,239721
T10_female_28,220805
T10_female_29,221200
T10_female_30,243811
T10_female_31,238212
T10_female_32,231272
T10_female_33,217679
T10_female_34,213212
T10_female_35,200066
T10_female_36,242037
T10_female_37,195899
T10_female_38,222462
T10_female_39,228666
T10_female_40,246777
T10_female_41,230323
T10_female_42,220004
T10_female_43,218481
T10_female_44,255602
T10_female_45,261226
T10_female_46,250573
T10_female_47,257721
T10_female_48,252097
